sku	mfg	supplier	price	description
DVL0530-UUF0003-0120-1W	Divolight	CDLOG	2236.82	Street Light 120W IP66
DVL0530-UUF0003-0180-1W	Divolight	CDLOG	2276.59	Street Light 180W IP66
DVL0530-UUF0004-0075-1W	Divolight	CDLOG	2495.81	Street Light 75W IP66
DVL0530-UUF0004-0150-1W	Divolight	CDLOG	2634.52	Street Light 150W IP66
DVL0530-UUF0004-0225-1W	Divolight	CDLOG	2680.11	Street Light 225W IP66
DVL0530-UUF0005-0090-1W	Divolight	CDLOG	2897.39	Street Light 90W IP66
DVL0530-UUF0005-0180-1W	Divolight	CDLOG	3035.13	Street Light 180W IP66
DVL0530-UUF0005-0270-1W	Divolight	CDLOG	3134.07	Street Light 270W IP66
DVL0525-UHB0015-0200-1W	Divolight	CDLOG	2556.92	HighBay 200W IP65
DVL0532-UHB0001-0030-1W	Divolight	CDLOG	698.4	HighBay 30W IP65
DVL0532-UHB0002-0040-1W	Divolight	CDLOG	854.57	HighBay 40W IP65
DVL0532-UHB0003-0050-1W	Divolight	CDLOG	930.23	HighBay 50W IP65
DVL0532-UHB0004-0060-1W	Divolight	CDLOG	1023.35	HighBay 60W IP65
DVL0532-UHB0005-0070-1W	Divolight	CDLOG	1193.1	HighBay 70W IP65
DVL0532-UHB0006-0080-1W	Divolight	CDLOG	1243.54	HighBay 80W IP65
DVL0532-UHB0007-0090-1W	Divolight	CDLOG	1277.49	HighBay 90W IP65
DVL0532-UHB0008-0100-1W	Divolight	CDLOG	1363.82	HighBay 100W IP65
DVL0532-UHB0009-0120-1W	Divolight	CDLOG	1666.46	HighBay 120W IP65
DVL0532-UHB0010-0150-1W	Divolight	CDLOG	1997.23	HighBay 150W IP65
DVL0532-UHB0011-0180-1W	Divolight	CDLOG	2208.69	HighBay 180W IP65
DVL0532-UHB0012-0200-1W	Divolight	CDLOG	2403.66	HighBay 200W IP65
0515-ULK0003-0010-1WW	Divolight	CDLOG	77.6	Bulb Led Lamp 10W E27 Warm White Dimmable
0515-ULK0003-0010-1W	Divolight	CDLOG	77.6	Bulb Led Lamp 10W E27 Day White Dimmable
0515-ULK0003-0010-1CW	Divolight	CDLOG	77.6	Bulb Led Lamp 10W E27 Cool White Dimmable
0515-ULK0001-0005-1WW	Divolight	CDLOG	41.71	Bulb Led Lamp 5W E27 Warm White
0515-ULK0001-0005-1W	Divolight	CDLOG	41.71	Bulb Led Lamp 5W E27 Day White
0515-ULK0001-0005-1CW	Divolight	CDLOG	41.71	Bulb Led Lamp 5W E27 Cool White
0515-ULK0002-0008-1WW	Divolight	CDLOG	57.23	Bulb Led Lamp 8W E27 Warm White Dimmable
0515-ULK0002-0008-1W	Divolight	CDLOG	57.23	Bulb Led Lamp 8W E27 Day White Dimmable
0515-ULK0002-0008-1CW	Divolight	CDLOG	57.23	Bulb Led Lamp 8W E27 Cool White Dimmable
0515-ULK0001-0003-1CW	Divolight	CDLOG	21.34	Candle Lamp 3W E14 Cold White
0515-ULK0002-0003-1CW	Divolight	CDLOG	21.34	Candle Lamp 3W E14 Cold White
0515-ULK0001-0003-1W	Divolight	CDLOG	21.34	Candle Lamp 3W E14 Day White
